CUST_KEY,NAME,ADDRESS,NATION_KEY,PHONE,ACCT_BAL,MKT_SEGMENT,COMMENT
30012,Customer#000030012,"8Vz0kDLOlvolAboX,eU9 RRhljgMr4oOHzoJiB",3,13-153-555-8557,9027.69,HOUSEHOLD,lithely: carefully silent packages use instr
30075,Customer#000030075,kwqiDzOqJWhwk1rc1yKSoAAezC6,3,13-475-838-2563,223.81,FURNITURE,"out the sly, pending dolphins. fluffily ironic deposits engage after the furiously"
30217,Customer#000030217,f9flvQWZW1GodcKru7fKMu3PF6C1ZbW,3,13-530-539-4957,8812.47,HOUSEHOLD," ideas along the final deposits wake slyly special th"
30278,Customer#000030278,Ye7f17MzPCnLNsr2tTkBz3fQQu7H4K ,3,13-389-849-3105,1888.85,MACHINERY,ggle fluffily above the express theodolites. furiously unusual
30344,Customer#000030344,QUDv3SdBJE,3,13-947-966-7598,9735.78,BUILDING,ar dolphins are furiously across the carefully regular deposits. final idea
30368,Customer#000030368,jolHXwrtyuzDtuGfl2TcYEiHf4K5,3,13-288-976-8644,5796.92,HOUSEHOLD,integrate furiously slyly ironic patterns. furiously pending sentiments aroun
30442,Customer#000030442,c4j5YlALhV4yqIdhxAihyn1WC,3,13-391-548-1738,3369.04,MACHINERY,al pinto beans wake! express requests upon the ruthlessly bold pinto beans cajole 
30451,Customer#000030451,mMynhKDaHYV9ftpifMRcLjwX2Hxu8vpBv8G,3,13-728-853-5093,3342.39,HOUSEHOLD," furiously unusual theodolites along the id"
30525,Customer#000030525,"WTAumuQ3LWhdc,9zXIuMzIROUlNL",3,13-611-620-6695,238.99,HOUSEHOLD,lets. blithely pending packages according to the blithely final dolph
30564,Customer#000030564,shvc0bdqDfbt,3,13-187-315-8769,8763.03,HOUSEHOLD,ounts. regular packages are above the theodolites. fluffily final packages after the even deposits do
30713,Customer#000030713,"SG5sC960p1Kx8Dcgkhn,9Mq4Te",3,13-892-263-2921,5411.77,BUILDING,nal accounts haggle blithely around the idly reg
30717,Customer#000030717,0bMX6ZSYk0SPL42bl5NLcpTlLUV,3,13-110-850-7412,8271.05,AUTOMOBILE,packages. accounts cajole slyly arou
30734,Customer#000030734,eu1N7dW wx4hP,3,13-857-838-6981,5589.53,MACHINERY,"ages hang blithely after the regular deposits. regular, pending depths alongside of the silently regular package"
30736,Customer#000030736,9ftC1w4MJwnKjopvJRC,3,13-910-586-8726,8471.53,HOUSEHOLD,uickly ironic packages. fluffily bold packages over the fluffily regular packages wake fluffily special 
30749,Customer#000030749,XyZfcpg7NSp4xf9Bd4Q927cAey,3,13-836-190-9084,4009.84,AUTOMOBILE,equests. slyly regular requests thrash. carefully pending requests according to the pending packages wake
30754,Customer#000030754,"R5LCX,we6GdiQd",3,13-140-492-4268,4246.41,AUTOMOBILE," ironic requests are carefully care"
30834,Customer#000030834,H5yr gI2lV8UTUGm,3,13-398-281-5622,4509.53,FURNITURE,mptotes sleep asymptotes. silent requests among the furiously ironic excuses wak
30871,Customer#000030871,dAqWPVut1vHduATCesxT8hZW,3,13-766-371-7042,4476.60,BUILDING,"ounts will have to cajole about the final, express multipliers. pinto beans alongside of the slyly pending deposits"
30895,Customer#000030895,"VnnPb,h3B b,BC4TClKYw",3,13-911-250-6123,-836.83,BUILDING," furiously furiously regular pains. package"
30993,Customer#000030993,u2Erzom4RKckdLvSlITH0P4bwIFNs,3,13-816-113-3053,9838.07,BUILDING,leep slyly even packages. requests against the quickly pending requests use slyly along the 
30994,Customer#000030994,YokAI6iydzjCVAS2qz36mc77f7,3,13-333-773-8824,5535.08,MACHINERY,ar deposits wake slyly. dependencies across the excuses mainta
31027,Customer#000031027,rNdJpW1OBSKrYyINIYNSEk1I,3,13-904-670-6910,5345.39,MACHINERY,ironic requests are after the caref
31044,Customer#000031044,QrDH2yYxJm3n olqYuPBU,3,13-681-256-9679,7656.14,BUILDING,uffily special instructions across the furiously regular foxes
31075,Customer#000031075,gBKzr0E D7487JKKIjhRHYegWNwC,3,13-256-764-7700,2371.16,MACHINERY,en theodolites doubt blithely alongside of the blithely bold dependencies. s
31088,Customer#000031088,"SkSWWcK6ZAC,eroA9xZns1pOyb 7LAzbEi,T",3,13-626-850-7433,3089.03,BUILDING,"ing to the silent, ironic requests. slyly"
31093,Customer#000031093,NwOH3tGxbGZxp,3,13-747-508-1858,4908.62,MACHINERY,"y alongside of the packages. even, bold packages wake carefully. carefully regular requests haggle slyl"
31119,Customer#000031119,"IGTPvrPrhUndxwhlLSLNF,O1",3,13-354-682-1186,3848.06,MACHINERY," dependencies sleep carefully after the blithely sly deposits. pending, silent dependencies sleep. final"
31120,Customer#000031120,n0JZhCUuzID7D71ooDTUN,3,13-624-805-6406,3256.13,FURNITURE,"ets serve deposits. bold, final requests nag"
31133,Customer#000031133,VCL1OsiY7jInMKe524e,3,13-392-336-8948,9201.78,MACHINERY,liers. always final deposits are. fluffily special pinto
31175,Customer#000031175,"OmQgk3eNGgMk5hq9,cdXIcpd",3,13-278-429-8819,1495.82,HOUSEHOLD,rts poach furiously. excuses nag blithely pendin
31188,Customer#000031188,"vl6xEMhO6Oq0Z3,WEsg",3,13-530-470-2968,1417.37,FURNITURE,"al deposits wake alongside of the blithely special packages. silent, silent waters cajole ag"
31207,Customer#000031207,trNkI4O47JsSVX3TuN6OoB7,3,13-497-713-3727,-920.62,BUILDING,fily unusual excuses haggle slyly across th
31244,Customer#000031244,sHGkea7xupM0r9t4UyklAJOm6j0bFf7,3,13-340-555-5738,5761.00,AUTOMOBILE,"r, bold asymptotes around the slyly even accounts"
